Release Date,Time,Actual,Forecast,Previous,
"Dec 01, 1996 (Nov)",05:00,1.00, ,-2.00,
"Nov 01, 1996 (Oct)",05:00,-2.00, ,-1.00,
"Oct 01, 1996 (Sep)",05:00,-1.00, ,-3.00,
"Sep 01, 1996 (Aug)",05:00,-3.00, ,-4.00,
"Aug 01, 1996 (Jul)",05:00,-4.00, ,-7.00,
"Jul 01, 1996 (Jun)",05:00,-7.00, ,-6.00,
"Jun 01, 1996 (May)",05:00,-6.00, ,-8.00,
"May 01, 1996 (Apr)",05:00,-8.00, ,-8.00,
"Apr 01, 1996 (Mar)",05:00,-8.00, ,-9.00,
"Mar 01, 1996 (Feb)",05:00,-9.00, ,-5.00,
"Feb 01, 1996 (Jan)",05:00,-5.00, ,-11.00,
"Jan 01, 1996 (Dec)",05:00,-11.00, ,-10.00,
"Dec 01, 1995 (Nov)",05:00,-10.00, ,-8.00,
"Nov 01, 1995 (Oct)",05:00,-8.00, ,-8.00,
"Oct 01, 1995 (Sep)",05:00,-8.00, ,-7.00,
"Sep 01, 1995 (Aug)",05:00,-7.00, ,-7.00,
"Aug 01, 1995 (Jul)",05:00,-7.00, ,-10.00,
"Jul 01, 1995 (Jun)",05:00,-10.00, ,-9.00,
"Jun 01, 1995 (May)",05:00,-9.00, ,-12.00,
"May 01, 1995 (Apr)",05:00,-12.00, ,-14.00,
"Apr 01, 1995 (Mar)",05:00,-14.00, ,-12.00,
"Mar 01, 1995 (Feb)",05:00,-12.00, ,-9.00,
"Feb 01, 1995 (Jan)",05:00,-9.00, ,-18.00,
"Jan 01, 1995 (Dec)",05:00,-18.00, ,-8.00,
"Dec 01, 1994 (Nov)",05:00,-8.00, ,-11.00,
"Nov 01, 1994 (Oct)",05:00,-11.00, ,-9.00,
"Oct 01, 1994 (Sep)",05:00,-9.00, ,-8.00,
"Sep 01, 1994 (Aug)",05:00,-8.00, ,-11.00,
"Aug 01, 1994 (Jul)",05:00,-11.00, ,-12.00,
"Jul 01, 1994 (Jun)",05:00,-12.00, ,-15.00,
"Jun 01, 1994 (May)",05:00,-15.00, ,-18.00,
"May 01, 1994 (Apr)",05:00,-18.00, ,-17.00,
"Apr 01, 1994 (Mar)",05:00,-17.00, ,-13.00,
"Mar 01, 1994 (Feb)",05:00,-13.00, ,-7.00,
"Feb 01, 1994 (Jan)",05:00,-7.00, ,-15.00,
"Jan 01, 1994 (Dec)",05:00,-15.00, ,-15.00,
"Dec 01, 1993 (Nov)",05:00,-15.00, ,-11.00,
"Nov 01, 1993 (Oct)",05:00,-11.00, ,-7.00,
"Oct 01, 1993 (Sep)",05:00,-7.00, ,-7.00,
"Sep 01, 1993 (Aug)",05:00,-7.00, ,-12.00,
"Aug 01, 1993 (Jul)",05:00,-12.00, ,-13.00,
"Jul 01, 1993 (Jun)",05:00,-13.00, ,-6.00,
"Jun 01, 1993 (May)",05:00,-6.00, ,-18.00,
"May 01, 1993 (Apr)",05:00,-18.00, ,-17.00,
"Apr 01, 1993 (Mar)",05:00,-17.00, ,-19.00,
"Mar 01, 1993 (Feb)",05:00,-19.00, ,-13.00,
"Feb 01, 1993 (Jan)",05:00,-13.00, ,-23.00,
"Jan 01, 1993 (Dec)",05:00,-23.00, ,-28.00,
"Dec 01, 1992 (Nov)",05:00,-28.00, ,-28.00,
"Nov 01, 1992 (Oct)",05:00,-28.00, ,-21.00,
"Oct 01, 1992 (Sep)",05:00,-21.00, ,-19.00,
"Sep 01, 1992 (Aug)",05:00,-19.00, ,-12.00,
"Aug 01, 1992 (Jul)",05:00,-12.00, ,-7.00,
"Jul 01, 1992 (Jun)",05:00,-7.00, ,-2.00,
"Jun 01, 1992 (May)",05:00,-2.00, ,-9.00,
"May 01, 1992 (Apr)",05:00,-9.00, ,-15.00,
"Apr 01, 1992 (Mar)",05:00,-15.00, ,-17.00,
"Mar 01, 1992 (Feb)",05:00,-17.00, ,-17.00,
"Feb 01, 1992 (Jan)",05:00,-17.00, ,-15.00,
"Jan 01, 1992 (Dec)",05:00,-15.00, ,-13.00,
"Dec 01, 1991 (Nov)",05:00,-13.00, ,-10.00,
"Nov 01, 1991 (Oct)",05:00,-10.00, ,-11.00,
"Oct 01, 1991 (Sep)",05:00,-11.00, ,-15.00,
"Sep 01, 1991 (Aug)",05:00,-15.00, ,-19.00,
"Aug 01, 1991 (Jul)",05:00,-19.00, ,-19.00,
"Jul 01, 1991 (Jun)",05:00,-19.00, ,-19.00,
"Jun 01, 1991 (May)",05:00,-19.00, ,-20.00,
"May 01, 1991 (Apr)",05:00,-20.00, ,-21.00,
"Apr 01, 1991 (Mar)",05:00,-21.00, ,-27.00,
"Mar 01, 1991 (Feb)",05:00,-27.00, ,-24.00,
"Feb 01, 1991 (Jan)",05:00,-24.00, ,-19.00,
"Jan 01, 1991 (Dec)",05:00,-19.00, ,-29.00,
"Dec 01, 1990 (Nov)",05:00,-29.00, ,-27.00,
"Nov 01, 1990 (Oct)",05:00,-27.00, ,-29.00,
"Oct 01, 1990 (Sep)",05:00,-29.00, ,-26.00,
"Sep 01, 1990 (Aug)",05:00,-26.00, ,-24.00,
"Aug 01, 1990 (Jul)",05:00,-24.00, ,-27.00,
"Jul 01, 1990 (Jun)",05:00,-27.00, ,-30.00,
"Jun 01, 1990 (May)",05:00,-30.00, ,-31.00,
"May 01, 1990 (Apr)",05:00,-31.00, ,-35.00,
"Apr 01, 1990 (Mar)",05:00,-35.00, ,-24.00,
"Mar 01, 1990 (Feb)",05:00,-24.00, ,-19.00,
"Feb 01, 1990 (Jan)",05:00,-19.00, ,-25.00,
"Jan 01, 1990 (Dec)",05:00,-25.00, ,-26.00,
"Dec 01, 1989 (Nov)",05:00,-26.00, ,-29.00,
"Nov 01, 1989 (Oct)",05:00,-29.00, ,-15.00,
"Oct 01, 1989 (Sep)",05:00,-15.00, ,-15.00,
"Sep 01, 1989 (Aug)",05:00,-15.00, ,-18.00,
"Aug 01, 1989 (Jul)",05:00,-18.00, ,-17.00,
"Jul 01, 1989 (Jun)",05:00,-17.00, ,-12.00,
"Jun 01, 1989 (May)",05:00,-12.00, ,-17.00,
"May 01, 1989 (Apr)",05:00,-17.00, ,-16.00,
"Apr 01, 1989 (Mar)",05:00,-16.00, ,-11.00,
"Mar 01, 1989 (Feb)",05:00,-11.00, ,-13.00,
"Feb 01, 1989 (Jan)",05:00,-13.00, ,-12.00,
"Jan 01, 1989 (Dec)",05:00,-12.00, ,-3.00,
"Dec 01, 1988 (Nov)",05:00,-3.00, ,-5.00,
"Nov 01, 1988 (Oct)",05:00,-5.00, ,-2.00,
"Oct 01, 1988 (Sep)",05:00,-2.00, ,2.00,
"Sep 01, 1988 (Aug)",05:00,2.00, ,7.00,
"Aug 01, 1988 (Jul)",05:00,7.00, ,9.00,
"Jul 01, 1988 (Jun)",05:00,9.00, ,8.00,
"Jun 01, 1988 (May)",05:00,8.00, ,5.00,
"May 01, 1988 (Apr)",05:00,5.00, ,5.00,
"Apr 01, 1988 (Mar)",05:00,5.00, ,3.00,
"Mar 01, 1988 (Feb)",05:00,3.00, ,7.00,
"Feb 01, 1988 (Jan)",05:00,7.00, ,3.00,
"Jan 01, 1988 (Dec)",05:00,3.00, ,5.00,
"Dec 01, 1987 (Nov)",05:00,5.00, ,8.00,
"Nov 01, 1987 (Oct)",05:00,8.00, ,5.00,
"Oct 01, 1987 (Sep)",05:00,5.00, ,8.00,
"Sep 01, 1987 (Aug)",05:00,8.00, ,9.00,
"Aug 01, 1987 (Jul)",05:00,9.00, ,10.00,
"Jul 01, 1987 (Jun)",05:00,10.00, ,6.00,
"Jun 01, 1987 (May)",05:00,6.00, ,4.00,
"May 01, 1987 (Apr)",05:00,4.00, ,0.00,
"Apr 01, 1987 (Mar)",05:00,0.00, ,0.00,
"Mar 01, 1987 (Feb)",05:00,0.00, ,-4.00,
"Feb 01, 1987 (Jan)",05:00,-4.00, ,-6.00,
"Jan 01, 1987 (Dec)",05:00,-6.00, ,-3.00,
"Dec 01, 1986 (Nov)",05:00,-3.00, ,-3.00,
"Nov 01, 1986 (Oct)",05:00,-3.00, ,-6.00,
"Oct 01, 1986 (Sep)",05:00,-6.00, ,-5.00,
"Sep 01, 1986 (Aug)",05:00,-5.00, ,-3.00,
"Aug 01, 1986 (Jul)",05:00,-3.00, ,-6.00,
"Jul 01, 1986 (Jun)",05:00,-6.00, ,-8.00,
"Jun 01, 1986 (May)",05:00,-8.00, ,-8.00,
"May 01, 1986 (Apr)",05:00,-8.00, ,-11.00,
"Apr 01, 1986 (Mar)",05:00,-11.00, ,-14.00,
"Mar 01, 1986 (Feb)",05:00,-14.00, ,-11.00,
"Feb 01, 1986 (Jan)",05:00,-11.00, ,-7.00,
"Jan 01, 1986 (Dec)",05:00,-7.00, ,-7.00,
"Dec 01, 1985 (Nov)",05:00,-7.00, ,-7.00,
"Nov 01, 1985 (Oct)",05:00,-7.00, ,-9.00,
"Oct 01, 1985 (Sep)",05:00,-9.00, ,-12.00,
"Sep 01, 1985 (Aug)",05:00,-12.00, ,-10.00,
"Aug 01, 1985 (Jul)",05:00,-10.00, ,-11.00,
"Jul 01, 1985 (Jun)",05:00,-11.00, ,-10.00,
"Jun 01, 1985 (May)",05:00,-10.00, ,-11.00,
"May 01, 1985 (Apr)",05:00,-11.00, ,-13.00,
"Apr 01, 1985 (Mar)",05:00,-13.00, ,-18.00,
"Mar 01, 1985 (Feb)",05:00,-18.00, ,-6.00,
"Feb 01, 1985 (Jan)",05:00,-6.00, ,-7.00,
"Jan 01, 1985 (Dec)",05:00,-7.00, ,-6.00,
